-------Robust Worst-Case Boundary Value Test------
Test Cases			A		B		C		OutPut			Result 
------------------------------------------------------------------
       1			0		0		0		NotATriangle	Passed
       2			0		0		1		NotATriangle	Passed
       3			0		0		2		NotATriangle	Passed
       4			0		0		100		NotATriangle	Passed
       5			0		0		199		NotATriangle	Passed
       6			0		0		200		NotATriangle	Passed
       7			0		0		201		NotATriangle	Passed
       8			0		1		0		NotATriangle	Passed
       9			0		1		1		NotATriangle	Passed
       10			0		1		2		NotATriangle	Passed
       11			0		1		100		NotATriangle	Passed
       12			0		1		199		NotATriangle	Passed
       13			0		1		200		NotATriangle	Passed
       14			0		1		201		NotATriangle	Passed
       15			0		2		0		NotATriangle	Passed
       16			0		2		1		NotATriangle	Passed
       17			0		2		2		NotATriangle	Passed
       18			0		2		100		NotATriangle	Passed
       19			0		2		199		NotATriangle	Passed
       20			0		2		200		NotATriangle	Passed
       21			0		2		201		NotATriangle	Passed
       22			0		100		0		NotATriangle	Passed
       23			0		100		1		NotATriangle	Passed
       24			0		100		2		NotATriangle	Passed
       25			0		100		100		NotATriangle	Passed
       26			0		100		199		NotATriangle	Passed
       27			0		100		200		NotATriangle	Passed
       28			0		100		201		NotATriangle	Passed
       29			0		199		0		NotATriangle	Passed
       30			0		199		1		NotATriangle	Passed
       31			0		199		2		NotATriangle	Passed
       32			0		199		100		NotATriangle	Passed
       33			0		199		199		NotATriangle	Passed
       34			0		199		200		NotATriangle	Passed
       35			0		199		201		NotATriangle	Passed
       36			0		200		0		NotATriangle	Passed
       37			0		200		1		NotATriangle	Passed
       38			0		200		2		NotATriangle	Passed
       39			0		200		100		NotATriangle	Passed
       40			0		200		199		NotATriangle	Passed
       41			0		200		200		NotATriangle	Passed
       42			0		200		201		NotATriangle	Passed
       43			0		201		0		NotATriangle	Passed
       44			0		201		1		NotATriangle	Passed
       45			0		201		2		NotATriangle	Passed
       46			0		201		100		NotATriangle	Passed
       47			0		201		199		NotATriangle	Passed
       48			0		201		200		NotATriangle	Passed
       49			0		201		201		NotATriangle	Passed
       50			1		0		0		NotATriangle	Passed
       51			1		0		1		NotATriangle	Passed
       52			1		0		2		NotATriangle	Passed
       53			1		0		100		NotATriangle	Passed
       54			1		0		199		NotATriangle	Passed
       55			1		0		200		NotATriangle	Passed
       56			1		0		201		NotATriangle	Passed
       57			1		1		0		NotATriangle	Passed
       58			1		1		1		Equilateral		Passed
       59			1		1		2		NotATriangle	Passed
       60			1		1		100		NotATriangle	Passed
       61			1		1		199		NotATriangle	Passed
       62			1		1		200		NotATriangle	Passed
       63			1		1		201		NotATriangle	Passed
       64			1		2		0		NotATriangle	Passed
       65			1		2		1		NotATriangle	Passed
       66			1		2		2		Isosceles		Passed
       67			1		2		100		NotATriangle	Passed
       68			1		2		199		NotATriangle	Passed
       69			1		2		200		NotATriangle	Passed
       70			1		2		201		NotATriangle	Passed
       71			1		100		0		NotATriangle	Passed
       72			1		100		1		NotATriangle	Passed
       73			1		100		2		NotATriangle	Passed
       74			1		100		100		Isosceles		Passed
       75			1		100		199		NotATriangle	Passed
       76			1		100		200		NotATriangle	Passed
       77			1		100		201		NotATriangle	Passed
       78			1		199		0		NotATriangle	Passed
       79			1		199		1		NotATriangle	Passed
       80			1		199		2		NotATriangle	Passed
       81			1		199		100		NotATriangle	Passed
       82			1		199		199		Isosceles		Passed
       83			1		199		200		NotATriangle	Passed
       84			1		199		201		NotATriangle	Passed
       85			1		200		0		NotATriangle	Passed
       86			1		200		1		NotATriangle	Passed
       87			1		200		2		NotATriangle	Passed
       88			1		200		100		NotATriangle	Passed
       89			1		200		199		NotATriangle	Passed
       90			1		200		200		Isosceles		Passed
       91			1		200		201		NotATriangle	Passed
       92			1		201		0		NotATriangle	Passed
       93			1		201		1		NotATriangle	Passed
       94			1		201		2		NotATriangle	Passed
       95			1		201		100		NotATriangle	Passed
       96			1		201		199		NotATriangle	Passed
       97			1		201		200		NotATriangle	Passed
       98			1		201		201		NotATriangle	Passed
       99			2		0		0		NotATriangle	Passed
       100			2		0		1		NotATriangle	Passed
       101			2		0		2		NotATriangle	Passed
       102			2		0		100		NotATriangle	Passed
       103			2		0		199		NotATriangle	Passed
       104			2		0		200		NotATriangle	Passed
       105			2		0		201		NotATriangle	Passed
       106			2		1		0		NotATriangle	Passed
       107			2		1		1		NotATriangle	Passed
       108			2		1		2		Isosceles		Passed
       109			2		1		100		NotATriangle	Passed
       110			2		1		199		NotATriangle	Passed
       111			2		1		200		NotATriangle	Passed
       112			2		1		201		NotATriangle	Passed
       113			2		2		0		NotATriangle	Passed
       114			2		2		1		Isosceles		Passed
       115			2		2		2		Equilateral		Passed
       116			2		2		100		NotATriangle	Passed
       117			2		2		199		NotATriangle	Passed
       118			2		2		200		NotATriangle	Passed
       119			2		2		201		NotATriangle	Passed
       120			2		100		0		NotATriangle	Passed
       121			2		100		1		NotATriangle	Passed
       122			2		100		2		NotATriangle	Passed
       123			2		100		100		Isosceles		Passed
       124			2		100		199		NotATriangle	Passed
       125			2		100		200		NotATriangle	Passed
       126			2		100		201		NotATriangle	Passed
       127			2		199		0		NotATriangle	Passed
       128			2		199		1		NotATriangle	Passed
       129			2		199		2		NotATriangle	Passed
       130			2		199		100		NotATriangle	Passed
       131			2		199		199		Isosceles		Passed
       132			2		199		200		Scalene			Passed
       133			2		199		201		NotATriangle	Passed
       134			2		200		0		NotATriangle	Passed
       135			2		200		1		NotATriangle	Passed
       136			2		200		2		NotATriangle	Passed
       137			2		200		100		NotATriangle	Passed
       138			2		200		199		Scalene			Passed
       139			2		200		200		Isosceles		Passed
       140			2		200		201		NotATriangle	Passed
       141			2		201		0		NotATriangle	Passed
       142			2		201		1		NotATriangle	Passed
       143			2		201		2		NotATriangle	Passed
       144			2		201		100		NotATriangle	Passed
       145			2		201		199		NotATriangle	Passed
       146			2		201		200		NotATriangle	Passed
       147			2		201		201		NotATriangle	Passed
       148			100		0		0		NotATriangle	Passed
       149			100		0		1		NotATriangle	Passed
       150			100		0		2		NotATriangle	Passed
       151			100		0		100		NotATriangle	Passed
       152			100		0		199		NotATriangle	Passed
       153			100		0		200		NotATriangle	Passed
       154			100		0		201		NotATriangle	Passed
       155			100		1		0		NotATriangle	Passed
       156			100		1		1		NotATriangle	Passed
       157			100		1		2		NotATriangle	Passed
       158			100		1		100		Isosceles		Passed
       159			100		1		199		NotATriangle	Passed
       160			100		1		200		NotATriangle	Passed
       161			100		1		201		NotATriangle	Passed
       162			100		2		0		NotATriangle	Passed
       163			100		2		1		NotATriangle	Passed
       164			100		2		2		NotATriangle	Passed
       165			100		2		100		Isosceles		Passed
       166			100		2		199		NotATriangle	Passed
       167			100		2		200		NotATriangle	Passed
       168			100		2		201		NotATriangle	Passed
       169			100		100		0		NotATriangle	Passed
       170			100		100		1		Isosceles		Passed
       171			100		100		2		Isosceles		Passed
       172			100		100		100		Equilateral		Passed
       173			100		100		199		Isosceles		Passed
       174			100		100		200		NotATriangle	Passed
       175			100		100		201		NotATriangle	Passed
       176			100		199		0		NotATriangle	Passed
       177			100		199		1		NotATriangle	Passed
       178			100		199		2		NotATriangle	Passed
       179			100		199		100		Isosceles		Passed
       180			100		199		199		Isosceles		Passed
       181			100		199		200		Scalene			Passed
       182			100		199		201		NotATriangle	Passed
       183			100		200		0		NotATriangle	Passed
       184			100		200		1		NotATriangle	Passed
       185			100		200		2		NotATriangle	Passed
       186			100		200		100		NotATriangle	Passed
       187			100		200		199		Scalene			Passed
       188			100		200		200		Isosceles		Passed
       189			100		200		201		NotATriangle	Passed
       190			100		201		0		NotATriangle	Passed
       191			100		201		1		NotATriangle	Passed
       192			100		201		2		NotATriangle	Passed
       193			100		201		100		NotATriangle	Passed
       194			100		201		199		NotATriangle	Passed
       195			100		201		200		NotATriangle	Passed
       196			100		201		201		NotATriangle	Passed
       197			199		0		0		NotATriangle	Passed
       198			199		0		1		NotATriangle	Passed
       199			199		0		2		NotATriangle	Passed
       200			199		0		100		NotATriangle	Passed
       201			199		0		199		NotATriangle	Passed
       202			199		0		200		NotATriangle	Passed
       203			199		0		201		NotATriangle	Passed
       204			199		1		0		NotATriangle	Passed
       205			199		1		1		NotATriangle	Passed
       206			199		1		2		NotATriangle	Passed
       207			199		1		100		NotATriangle	Passed
       208			199		1		199		Isosceles		Passed
       209			199		1		200		NotATriangle	Passed
       210			199		1		201		NotATriangle	Passed
       211			199		2		0		NotATriangle	Passed
       212			199		2		1		NotATriangle	Passed
       213			199		2		2		NotATriangle	Passed
       214			199		2		100		NotATriangle	Passed
       215			199		2		199		Isosceles		Passed
       216			199		2		200		Scalene			Passed
       217			199		2		201		NotATriangle	Passed
       218			199		100		0		NotATriangle	Passed
       219			199		100		1		NotATriangle	Passed
       220			199		100		2		NotATriangle	Passed
       221			199		100		100		Isosceles		Passed
       222			199		100		199		Isosceles		Passed
       223			199		100		200		Scalene			Passed
       224			199		100		201		NotATriangle	Passed
       225			199		199		0		NotATriangle	Passed
       226			199		199		1		Isosceles		Passed
       227			199		199		2		Isosceles		Passed
       228			199		199		100		Isosceles		Passed
       229			199		199		199		Equilateral		Passed
       230			199		199		200		Isosceles		Passed
       231			199		199		201		NotATriangle	Passed
       232			199		200		0		NotATriangle	Passed
       233			199		200		1		NotATriangle	Passed
       234			199		200		2		Scalene			Passed
       235			199		200		100		Scalene			Passed
       236			199		200		199		Isosceles		Passed
       237			199		200		200		Isosceles		Passed
       238			199		200		201		NotATriangle	Passed
       239			199		201		0		NotATriangle	Passed
       240			199		201		1		NotATriangle	Passed
       241			199		201		2		NotATriangle	Passed
       242			199		201		100		NotATriangle	Passed
       243			199		201		199		NotATriangle	Passed
       244			199		201		200		NotATriangle	Passed
       245			199		201		201		NotATriangle	Passed
       246			200		0		0		NotATriangle	Passed
       247			200		0		1		NotATriangle	Passed
       248			200		0		2		NotATriangle	Passed
       249			200		0		100		NotATriangle	Passed
       250			200		0		199		NotATriangle	Passed
       251			200		0		200		NotATriangle	Passed
       252			200		0		201		NotATriangle	Passed
       253			200		1		0		NotATriangle	Passed
       254			200		1		1		NotATriangle	Passed
       255			200		1		2		NotATriangle	Passed
       256			200		1		100		NotATriangle	Passed
       257			200		1		199		NotATriangle	Passed
       258			200		1		200		Isosceles		Passed
       259			200		1		201		NotATriangle	Passed
       260			200		2		0		NotATriangle	Passed
       261			200		2		1		NotATriangle	Passed
       262			200		2		2		NotATriangle	Passed
       263			200		2		100		NotATriangle	Passed
       264			200		2		199		Scalene			Passed
       265			200		2		200		Isosceles		Passed
       266			200		2		201		NotATriangle	Passed
       267			200		100		0		NotATriangle	Passed
       268			200		100		1		NotATriangle	Passed
       269			200		100		2		NotATriangle	Passed
       270			200		100		100		NotATriangle	Passed
       271			200		100		199		Scalene			Passed
       272			200		100		200		Isosceles		Passed
       273			200		100		201		NotATriangle	Passed
       274			200		199		0		NotATriangle	Passed
       275			200		199		1		NotATriangle	Passed
       276			200		199		2		Scalene			Passed
       277			200		199		100		Scalene			Passed
       278			200		199		199		Isosceles		Passed
       279			200		199		200		Isosceles		Passed
       280			200		199		201		NotATriangle	Passed
       281			200		200		0		NotATriangle	Passed
       282			200		200		1		Isosceles		Passed
       283			200		200		2		Isosceles		Passed
       284			200		200		100		Isosceles		Passed
       285			200		200		199		Isosceles		Passed
       286			200		200		200		Equilateral		Passed
       287			200		200		201		NotATriangle	Passed
       288			200		201		0		NotATriangle	Passed
       289			200		201		1		NotATriangle	Passed
       290			200		201		2		NotATriangle	Passed
       291			200		201		100		NotATriangle	Passed
       292			200		201		199		NotATriangle	Passed
       293			200		201		200		NotATriangle	Passed
       294			200		201		201		NotATriangle	Passed
       295			201		0		0		NotATriangle	Passed
       296			201		0		1		NotATriangle	Passed
       297			201		0		2		NotATriangle	Passed
       298			201		0		100		NotATriangle	Passed
       299			201		0		199		NotATriangle	Passed
       300			201		0		200		NotATriangle	Passed
       301			201		0		201		NotATriangle	Passed
       302			201		1		0		NotATriangle	Passed
       303			201		1		1		NotATriangle	Passed
       304			201		1		2		NotATriangle	Passed
       305			201		1		100		NotATriangle	Passed
       306			201		1		199		NotATriangle	Passed
       307			201		1		200		NotATriangle	Passed
       308			201		1		201		NotATriangle	Passed
       309			201		2		0		NotATriangle	Passed
       310			201		2		1		NotATriangle	Passed
       311			201		2		2		NotATriangle	Passed
       312			201		2		100		NotATriangle	Passed
       313			201		2		199		NotATriangle	Passed
       314			201		2		200		NotATriangle	Passed
       315			201		2		201		NotATriangle	Passed
       316			201		100		0		NotATriangle	Passed
       317			201		100		1		NotATriangle	Passed
       318			201		100		2		NotATriangle	Passed
       319			201		100		100		NotATriangle	Passed
       320			201		100		199		NotATriangle	Passed
       321			201		100		200		NotATriangle	Passed
       322			201		100		201		NotATriangle	Passed
       323			201		199		0		NotATriangle	Passed
       324			201		199		1		NotATriangle	Passed
       325			201		199		2		NotATriangle	Passed
       326			201		199		100		NotATriangle	Passed
       327			201		199		199		NotATriangle	Passed
       328			201		199		200		NotATriangle	Passed
       329			201		199		201		NotATriangle	Passed
       330			201		200		0		NotATriangle	Passed
       331			201		200		1		NotATriangle	Passed
       332			201		200		2		NotATriangle	Passed
       333			201		200		100		NotATriangle	Passed
       334			201		200		199		NotATriangle	Passed
       335			201		200		200		NotATriangle	Passed
       336			201		200		201		NotATriangle	Passed
       337			201		201		0		NotATriangle	Passed
       338			201		201		1		NotATriangle	Passed
       339			201		201		2		NotATriangle	Passed
       340			201		201		100		NotATriangle	Passed
       341			201		201		199		NotATriangle	Passed
       342			201		201		200		NotATriangle	Passed
       343			201		201		201		NotATriangle	Passed
------------------------------------------------------------------
--End Robust Worst-Case Boundary Value Test--
 
