-------Test Suite Check Range A------
Test Cases			A		B		C		OutPut												Result 
------------------------------------------------------------------------------------------------------
A Out of bounds 	0		100		100		Value of a is not in the range of permitted values	Passed
A In the bounds 	1		100		100		Valid												Passed
A In the bounds 	2		100		100		Valid												Passed
A In the bounds 	100		100		100		Valid												Passed
A In the bounds 	199		100		100		Valid												Passed
A In the bounds 	200		100		100		Valid												Passed
A Out of bounds 	201		100		100		Value of a is not in the range of permitted values	Passed
------------------------------------------------------------------------------------------------------
-----End Test Suite Check Range A-----
 
-------Test Suite Check Range B------
Test Cases			A		B		C		OutPut												Result 
------------------------------------------------------------------------------------------------------
B Out of bounds 	100		0		100		Value of b is not in the range of permitted values	Passed
B In the bounds 	100		1		100		Valid												Passed
B In the bounds 	100		2		100		Valid												Passed
B In the bounds 	100		100		100		Valid												Passed
B In the bounds 	100		199		100		Valid												Passed
B In the bounds 	100		200		100		Valid												Passed
B Out of bounds 	100		201		100		Value of b is not in the range of permitted values	Passed
------------------------------------------------------------------------------------------------------
-----End Test Suite Check Range B-----
 
-------Test Suite Check Range C------
Test Cases			A		B		C		OutPut												Result 
------------------------------------------------------------------------------------------------------
C Out of bounds 	100		100		0		Value of c is not in the range of permitted values	Passed
C In the bounds 	100		100		1		Valid												Passed
C In the bounds 	100		100		2		Valid												Passed
C In the bounds 	100		100		100		Valid												Passed
C In the bounds 	100		100		199		Valid												Passed
C In the bounds 	100		100		200		Valid												Passed
C Out of bounds 	100		100		201		Value of c is not in the range of permitted values	Passed
------------------------------------------------------------------------------------------------------
-----End Test Suite Check Range C-----
 
-------Test Suite Is A Triangle------
Test Cases			A		B		C		OutPut	Result 
----------------------------------------------------------
IsNotATriangle 	0		0		0		false	Passed
IsNotATriangle 	0		0		1		false	Passed
IsNotATriangle 	0		0		2		false	Passed
IsNotATriangle 	0		0		100		false	Passed
IsNotATriangle 	0		0		199		false	Passed
IsNotATriangle 	0		0		200		false	Passed
IsNotATriangle 	0		0		201		false	Passed
IsNotATriangle 	0		1		0		false	Passed
IsNotATriangle 	0		1		1		false	Passed
IsNotATriangle 	0		1		2		false	Passed
IsNotATriangle 	0		1		100		false	Passed
IsNotATriangle 	0		1		199		false	Passed
IsNotATriangle 	0		1		200		false	Passed
IsNotATriangle 	0		1		201		false	Passed
IsNotATriangle 	0		2		0		false	Passed
IsNotATriangle 	0		2		1		false	Passed
IsNotATriangle 	0		2		2		false	Passed
IsNotATriangle 	0		2		100		false	Passed
IsNotATriangle 	0		2		199		false	Passed
IsNotATriangle 	0		2		200		false	Passed
IsNotATriangle 	0		2		201		false	Passed
IsNotATriangle 	0		100		0		false	Passed
IsNotATriangle 	0		100		1		false	Passed
IsNotATriangle 	0		100		2		false	Passed
IsNotATriangle 	0		100		100		false	Passed
IsNotATriangle 	0		100		199		false	Passed
IsNotATriangle 	0		100		200		false	Passed
IsNotATriangle 	0		100		201		false	Passed
IsNotATriangle 	0		199		0		false	Passed
IsNotATriangle 	0		199		1		false	Passed
IsNotATriangle 	0		199		2		false	Passed
IsNotATriangle 	0		199		100		false	Passed
IsNotATriangle 	0		199		199		false	Passed
IsNotATriangle 	0		199		200		false	Passed
IsNotATriangle 	0		199		201		false	Passed
IsNotATriangle 	0		200		0		false	Passed
IsNotATriangle 	0		200		1		false	Passed
IsNotATriangle 	0		200		2		false	Passed
IsNotATriangle 	0		200		100		false	Passed
IsNotATriangle 	0		200		199		false	Passed
IsNotATriangle 	0		200		200		false	Passed
IsNotATriangle 	0		200		201		false	Passed
IsNotATriangle 	0		201		0		false	Passed
IsNotATriangle 	0		201		1		false	Passed
IsNotATriangle 	0		201		2		false	Passed
IsNotATriangle 	0		201		100		false	Passed
IsNotATriangle 	0		201		199		false	Passed
IsNotATriangle 	0		201		200		false	Passed
IsNotATriangle 	0		201		201		false	Passed
IsNotATriangle 	1		0		0		false	Passed
IsNotATriangle 	1		0		1		false	Passed
IsNotATriangle 	1		0		2		false	Passed
IsNotATriangle 	1		0		100		false	Passed
IsNotATriangle 	1		0		199		false	Passed
IsNotATriangle 	1		0		200		false	Passed
IsNotATriangle 	1		0		201		false	Passed
IsNotATriangle 	1		1		0		false	Passed
IsATriangle   	1		1		1		true	Passed
IsNotATriangle 	1		1		2		false	Passed
IsNotATriangle 	1		1		100		false	Passed
IsNotATriangle 	1		1		199		false	Passed
IsNotATriangle 	1		1		200		false	Passed
IsNotATriangle 	1		1		201		false	Passed
IsNotATriangle 	1		2		0		false	Passed
IsNotATriangle 	1		2		1		false	Passed
IsATriangle   	1		2		2		true	Passed
IsNotATriangle 	1		2		100		false	Passed
IsNotATriangle 	1		2		199		false	Passed
IsNotATriangle 	1		2		200		false	Passed
IsNotATriangle 	1		2		201		false	Passed
IsNotATriangle 	1		100		0		false	Passed
IsNotATriangle 	1		100		1		false	Passed
IsNotATriangle 	1		100		2		false	Passed
IsATriangle   	1		100		100		true	Passed
IsNotATriangle 	1		100		199		false	Passed
IsNotATriangle 	1		100		200		false	Passed
IsNotATriangle 	1		100		201		false	Passed
IsNotATriangle 	1		199		0		false	Passed
IsNotATriangle 	1		199		1		false	Passed
IsNotATriangle 	1		199		2		false	Passed
IsNotATriangle 	1		199		100		false	Passed
IsATriangle   	1		199		199		true	Passed
IsNotATriangle 	1		199		200		false	Passed
IsNotATriangle 	1		199		201		false	Passed
IsNotATriangle 	1		200		0		false	Passed
IsNotATriangle 	1		200		1		false	Passed
IsNotATriangle 	1		200		2		false	Passed
IsNotATriangle 	1		200		100		false	Passed
IsNotATriangle 	1		200		199		false	Passed
IsATriangle   	1		200		200		true	Passed
IsNotATriangle 	1		200		201		false	Passed
IsNotATriangle 	1		201		0		false	Passed
IsNotATriangle 	1		201		1		false	Passed
IsNotATriangle 	1		201		2		false	Passed
IsNotATriangle 	1		201		100		false	Passed
IsNotATriangle 	1		201		199		false	Passed
IsNotATriangle 	1		201		200		false	Passed
IsATriangle   	1		201		201		true	Passed
IsNotATriangle 	2		0		0		false	Passed
IsNotATriangle 	2		0		1		false	Passed
IsNotATriangle 	2		0		2		false	Passed
IsNotATriangle 	2		0		100		false	Passed
IsNotATriangle 	2		0		199		false	Passed
IsNotATriangle 	2		0		200		false	Passed
IsNotATriangle 	2		0		201		false	Passed
IsNotATriangle 	2		1		0		false	Passed
IsNotATriangle 	2		1		1		false	Passed
IsATriangle   	2		1		2		true	Passed
IsNotATriangle 	2		1		100		false	Passed
IsNotATriangle 	2		1		199		false	Passed
IsNotATriangle 	2		1		200		false	Passed
IsNotATriangle 	2		1		201		false	Passed
IsNotATriangle 	2		2		0		false	Passed
IsATriangle   	2		2		1		true	Passed
IsATriangle   	2		2		2		true	Passed
IsNotATriangle 	2		2		100		false	Passed
IsNotATriangle 	2		2		199		false	Passed
IsNotATriangle 	2		2		200		false	Passed
IsNotATriangle 	2		2		201		false	Passed
