-------Worst-Case Boundary Value Test------
Test Cases			A		B		C		OutPut			Result 
------------------------------------------------------------------
       1			1		1		1		Equilateral		Passed
       2			1		1		2		NotATriangle	Passed
       3			1		1		100		NotATriangle	Passed
       4			1		1		199		NotATriangle	Passed
       5			1		1		200		NotATriangle	Passed
       6			1		2		1		NotATriangle	Passed
       7			1		2		2		Isosceles		Passed
       8			1		2		100		NotATriangle	Passed
       9			1		2		199		NotATriangle	Passed
       10			1		2		200		NotATriangle	Passed
       11			1		100		1		NotATriangle	Passed
       12			1		100		2		NotATriangle	Passed
       13			1		100		100		Isosceles		Passed
       14			1		100		199		NotATriangle	Passed
       15			1		100		200		NotATriangle	Passed
       16			1		199		1		NotATriangle	Passed
       17			1		199		2		NotATriangle	Passed
       18			1		199		100		NotATriangle	Passed
       19			1		199		199		Isosceles		Passed
       20			1		199		200		NotATriangle	Passed
       21			1		200		1		NotATriangle	Passed
       22			1		200		2		NotATriangle	Passed
       23			1		200		100		NotATriangle	Passed
       24			1		200		199		NotATriangle	Passed
       25			1		200		200		Isosceles		Passed
       26			2		1		1		NotATriangle	Passed
       27			2		1		2		Isosceles		Passed
       28			2		1		100		NotATriangle	Passed
       29			2		1		199		NotATriangle	Passed
       30			2		1		200		NotATriangle	Passed
       31			2		2		1		Isosceles		Passed
       32			2		2		2		Equilateral		Passed
       33			2		2		100		NotATriangle	Passed
       34			2		2		199		NotATriangle	Passed
       35			2		2		200		NotATriangle	Passed
       36			2		100		1		NotATriangle	Passed
       37			2		100		2		NotATriangle	Passed
       38			2		100		100		Isosceles		Passed
       39			2		100		199		NotATriangle	Passed
       40			2		100		200		NotATriangle	Passed
       41			2		199		1		NotATriangle	Passed
       42			2		199		2		NotATriangle	Passed
       43			2		199		100		NotATriangle	Passed
       44			2		199		199		Isosceles		Passed
       45			2		199		200		Scalene			Passed
       46			2		200		1		NotATriangle	Passed
       47			2		200		2		NotATriangle	Passed
       48			2		200		100		NotATriangle	Passed
       49			2		200		199		Scalene			Passed
       50			2		200		200		Isosceles		Passed
       51			100		1		1		NotATriangle	Passed
       52			100		1		2		NotATriangle	Passed
       53			100		1		100		Isosceles		Passed
       54			100		1		199		NotATriangle	Passed
       55			100		1		200		NotATriangle	Passed
       56			100		2		1		NotATriangle	Passed
       57			100		2		2		NotATriangle	Passed
       58			100		2		100		Isosceles		Passed
       59			100		2		199		NotATriangle	Passed
       60			100		2		200		NotATriangle	Passed
       61			100		100		1		Isosceles		Passed
       62			100		100		2		Isosceles		Passed
       63			100		100		100		Equilateral		Passed
       64			100		100		199		Isosceles		Passed
       65			100		100		200		NotATriangle	Passed
       66			100		199		1		NotATriangle	Passed
       67			100		199		2		NotATriangle	Passed
       68			100		199		100		Isosceles		Passed
       69			100		199		199		Isosceles		Passed
       70			100		199		200		Scalene			Passed
       71			100		200		1		NotATriangle	Passed
       72			100		200		2		NotATriangle	Passed
       73			100		200		100		NotATriangle	Passed
       74			100		200		199		Scalene			Passed
       75			100		200		200		Isosceles		Passed
       76			199		1		1		NotATriangle	Passed
       77			199		1		2		NotATriangle	Passed
       78			199		1		100		NotATriangle	Passed
       79			199		1		199		Isosceles		Passed
       80			199		1		200		NotATriangle	Passed
       81			199		2		1		NotATriangle	Passed
       82			199		2		2		NotATriangle	Passed
       83			199		2		100		NotATriangle	Passed
       84			199		2		199		Isosceles		Passed
       85			199		2		200		Scalene			Passed
       86			199		100		1		NotATriangle	Passed
       87			199		100		2		NotATriangle	Passed
       88			199		100		100		Isosceles		Passed
       89			199		100		199		Isosceles		Passed
       90			199		100		200		Scalene			Passed
       91			199		199		1		Isosceles		Passed
       92			199		199		2		Isosceles		Passed
       93			199		199		100		Isosceles		Passed
       94			199		199		199		Equilateral		Passed
       95			199		199		200		Isosceles		Passed
       96			199		200		1		NotATriangle	Passed
       97			199		200		2		Scalene			Passed
       98			199		200		100		Scalene			Passed
       99			199		200		199		Isosceles		Passed
       100			199		200		200		Isosceles		Passed
       101			200		1		1		NotATriangle	Passed
       102			200		1		2		NotATriangle	Passed
       103			200		1		100		NotATriangle	Passed
       104			200		1		199		NotATriangle	Passed
       105			200		1		200		Isosceles		Passed
       106			200		2		1		NotATriangle	Passed
       107			200		2		2		NotATriangle	Passed
       108			200		2		100		NotATriangle	Passed
       109			200		2		199		Scalene			Passed
       110			200		2		200		Isosceles		Passed
       111			200		100		1		NotATriangle	Passed
       112			200		100		2		NotATriangle	Passed
       113			200		100		100		NotATriangle	Passed
       114			200		100		199		Scalene			Passed
       115			200		100		200		Isosceles		Passed
       116			200		199		1		NotATriangle	Passed
       117			200		199		2		Scalene			Passed
       118			200		199		100		Scalene			Passed
       119			200		199		199		Isosceles		Passed
       120			200		199		200		Isosceles		Passed
       121			200		200		1		Isosceles		Passed
       122			200		200		2		Isosceles		Passed
       123			200		200		100		Isosceles		Passed
       124			200		200		199		Isosceles		Passed
       125			200		200		200		Equilateral		Passed
------------------------------------------------------------------
--End Worst-Case Boundary Value Test--
 
